Name,Link,Category,Series,LatestChapter,FileName,Status,ChatId,ResolvedSource
"Martial Evolution: Start by Awakening the King of Monsters","https://t.me/Martial_Evolution_Start_by_Awa","manwha","Martial Evolution Start by","129","[CH] [129] Martial Evolution Start by @ManhwaXMonarch.pdf","Success","",""
"The Only New Game+ Hardcore Gamer ~I’m so Overpowered, I Shattered the Game’s Balance~","","manwha","","95","","Missing Link","",""
"Becoming the Cheon Clan's Mad Dog Manhwa","https://t.me/Becoming_the_Cheon_Clans_Mad","manwha","Becoming the Cheon Clans Mad D","17","[017] [MW] Becoming the Cheon Clans Mad D [@Manhwa_Weebs].pdf","Success","",""
"The Archmage's Restaurant","https://t.me/The_Archmages_Restaurant","manwha","The Archmages Restaurant","129","[129] The Archmages Restaurant @ManhwaXGarden.pdf","Success","",""
"Player Who Returned 10,000 Years Later","https://t.me/Player_Who_Returned_10000_Year_1","manwha","Player Who Returned","154","[154] Player Who Returned @ManhwaXGarden.pdf","Success","",""
"Moon Shadow Sword Emperor","https://t.me/Moon_Shadow_Sword_Empero","manwha","Moon-Shadow Sword Emperor","85","[MG] [085] Moon-Shadow Sword Emperor @Manhwa_Garden.pdf","Success","",""
"Surviving the Game as A Barbarian","https://t.me/Surviving_the_Game_as_A_Barbaria","manwha","Surviving The Game as Barbarian","152","[152] Surviving The Game as Barbarian @ManhwaXGarden.pdf","Success","",""
"Regression of the Yong Clan Heir","https://t.me/Regression_of_the_Yong_Clan_Heir","manwha","","55","","Resolved from saved messages","1986823993","saved-message"
"Childhood Friend Of the Zenith","https://t.me/Childhood_Friend_Of_the_Zenit","manwha","Childhood Friend of the Zenith","104","[104] Childhood Friend of the Zenith @ManhwaXGarden.pdf","Success","",""
"Trait Hoarder","","manwha","","88","","Resolved from saved messages","3856785815","saved-message"
"A Modern Man Who Got Transmigrated Into the Murim World","https://t.me/A_Modern_Man_Who_Got_Transmigra","manwha","Modern Dude in the Murim","159","[159] Modern Dude in the Murim @ManhwaXGarden.pdf","Success","",""
"My Little Brother Is The Academy's Hotshot","https://t.me/My_Little_Brother_Is_The_Academ","manwha","Hero's Little Brother","135","[135] Hero's Little Brother @ManhwaXGarden.pdf","Success","",""
"My Wife is the Demonic Cult Leader","https://t.me/My_Wife_is_the_Demonic_Cult_Lea","manwha","My Wife is the Demonic Cult Leader","59","[059] My Wife is the Demonic Cult Leader @ManhwaXGarden.pdf","Success","",""
"The Return of the Mythical Archmage","https://t.me/thereturnofthemythicalarchmage","manwha","The Return of the Mythical A","100","[EM] [100] The Return of the Mythical A @Extreme_Manhwa.pdf","Success","",""
"Reaper Of the Drifting Moon","https://t.me/Reaper_Of_the_Drifting_Mo","manwha","Reaper of the Drifting Moon","135","[135] Reaper of the Drifting Moon @ManhwaXGarden.pdf","Success","",""
"I'm Not That Kind of Talent","https://t.me/I_m_Not_That_Kind_of_Talen","manwha","Im Not That Kind of Talent","118","[118] Im Not That Kind of Talent @ManhwaXGarden.pdf","Success","",""
"Youngest Scion of the Mages","","manwha","","123","","Resolved from saved messages","1575751718","saved-message"
"Memoir of the God of War","","manwha","","246","","Resolved from saved messages","2771643365","saved-message"
"Mercenary Enrollment","https://t.me/Mercenary_Enrollmen","manwha","Mercenary Enrollment","280","[280] Mercenary Enrollment @ManhwaXGarden.pdf","Success","",""
"My Exclusive Tower Guide [Manhwa]","","manwha","","109","","Missing Link","",""
"Becoming the Swordmaster Rank Young Lord of the Sichuan Tang Family","","manwha","","114","","Missing Link","",""
"The Great Mage Returns After 4,000 Years","https://t.me/great_mage_returns_after_years","manwha","Great Mage Returns","249","[249] Great Mage Returns @ManhwaXGarden.pdf","Success","",""
"Dungeon Architect","https://t.me/Dungeon_Architect","manwha","Dungeon Architect","74","[074] Dungeon Architect @ManhwaXGarden.pdf","Success","",""
"Reincarnated As A Genius Prodigy Of A Prestigious Family","https://t.me/Reincarnated_As_A_Genius_prodigy","manwha","","84","","A wait of 80813 seconds is required (caused by contacts.ResolveUsername)","",""
"Keep A Low Profile, Sect Leader","https://t.me/Keep_A_Low_Profile_Sect_Leader","manwha","","591","","A wait of 80812 seconds is required (caused by contacts.ResolveUsername)","",""
"Myst, Might, Mayhem","https://t.me/Myst_Might_Mayhem_1","manwha","","109","","Resolved from saved messages","2061000180","saved-message"
"The Sword God From the Destroyed World | The Sword God From a Fallen World","https://t.me/The_Sword_God_From_the_Destroye","manwha","","51.5","","A wait of 80809 seconds is required (caused by contacts.ResolveUsername)","",""
"Dragon Devouring Mage","https://t.me/Dragon_Devouring_Mag","manwha","","137","","Resolved from saved messages","1346866271","saved-message"
"Genius Archer's Streaming","https://t.me/Genius_Archer_s_Streaming","manwha","","100","","Resolved from saved messages","1904656310","saved-message"
"Fated to Be Loved by Villains","https://t.me/Fated_to_Be_Loved_by_Villains_1","manwha","","55","","Resolved from saved messages","1803076661","saved-message"
"Way To Be The Evil Emperor Manhua / I am an evil god","https://t.me/I_am_an_evil_god_Manhu","manwha","","567.5","","A wait of 80803 seconds is required (caused by contacts.ResolveUsername)","",""
"Murim Login","https://t.me/Murim_Login_1","manwha","","250","","Resolved from saved messages","1153064658","saved-message"
"The Magic Tower's Problem Child","https://t.me/The_Magic_Towers_Problem_Chil","manwha","","44","","Resolved from saved messages","1922927302","saved-message"
"Player Who Can't Level Up","","manwha","","220","","Resolved from saved messages","1161155190","saved-message"
"I'm Gonna Annihilate This Land","https://t.me/Im_Gonna_Annihilate_this_Land","manwha","","84","","Resolved from saved messages","2420840953","saved-message"
"Bloodhound's Regression Instinct","","manwha","","100","","Missing Link","",""
"Dragon King's Chef","","manwha","","93","","Resolved from saved messages","2255253243","saved-message"
"Ranker's Return (Remake)","","manwha","","222","","Missing Link","",""
"The Bully In-Charge","","manwha","","168","","Resolved from saved messages","2054429855","saved-message"
"I Used To Be a Boss","","manwha","","129","","Resolved from saved messages","1527805410","saved-message"
"The Constellations Are My Disciples","https://t.me/The_Constellations_Are_My_Discip","manwha","","129","","Resolved from saved messages","1426587809","saved-message"
"Taming Master manhwa","https://t.me/Taming_master_manhwa","manwha","","188","","A wait of 80787 seconds is required (caused by contacts.ResolveUsername)","",""
"World's strongest troll","","manwha","","158","","Resolved from saved messages","3474332293","saved-message"
"Night Of the Soulless Heathens","https://t.me/Night_Of_the_Soulless_Heathens","manwha","","61","","Resolved from saved messages","1915626940","saved-message"
"The Betrayal of Shadow","","manwha","","45","","Resolved from saved messages","3099681627","saved-message"
"Reverend Insanity (Remake)","","manwha","","10","","Resolved from saved messages","1893896663","saved-message"
"A Regressor's Tale of Cultivation","https://t.me/A_Regressors_Tale_of_Cultivatio","manwha","","25","","Resolved from saved messages","2277075322","saved-message"
"Legend of the Reincarnated Demon God","https://t.me/Legend_of_the_Reincarnated_Demon","manwha","","58","","Resolved from saved messages","1674591209","saved-message"
"The Legend of the Northern Blade","https://t.me/The_Legend_of_the_Northern_Bla","manwha","","202","","Resolved from saved messages","1183697347","saved-message"
"SSS Class Suicide Hunter","https://t.me/SSS_Class_Suicide_Hunte","manwha","","151","","Resolved from saved messages","1558287469","saved-message"
"Arcane Sniper","","manwha","","208","","Resolved from saved messages","2115521131","saved-message"
"The Demonic Cult Leader is Too Reluctant","","manwha","","49","","Missing Link","",""
"Rise of the Fallen Kingdom's Third Prince","","manwha","","26","","Missing Link","",""
"I Awoke as a God After Auto Battling For a Million Years","https://t.me/I_Awoke_as_a_God_After_Auto_Batt","manwha","","43","","A wait of 80765 seconds is required (caused by contacts.ResolveUsername)","",""
"Chrysalis Manhwa","https://t.me/Chrysalis_Manhwa","manwha","","25","","A wait of 80764 seconds is required (caused by contacts.ResolveUsername)","",""
"Mightiest Melee Magician","","manwha","","67","","Resolved from saved messages","2063592538","saved-message"
"Banished Disciple's Counterattack","","manwha","","536","","Missing Link","",""
"Solo Leveling: Arise [MANHWA]","https://t.me/Solo_Leveling_Arise_Manhwa","manwha","","15","","Resolved from saved messages","1541754376","saved-message"
"Duke Pendragon","","manwha","","131","","Resolved from saved messages","2209973415","saved-message"
"Reformation of the Deadbeat Noble","","manwha","","150","","Missing Link","",""
"Legendary Blacksmith's Vengeance","https://t.me/Legendary_Blacksmith_s_Vengeance","manwha","","83","","A wait of 80758 seconds is required (caused by contacts.ResolveUsername)","",""
"Margrave's Bastard Son was The Emperor","https://t.me/Margraves_Bastard_Son_was_The_Em","manwha","","66","","A wait of 80757 seconds is required (caused by contacts.ResolveUsername)","",""
"Goblin's Night","","manwha","","Goblin's Night","","Resolved from saved messages","2092601986","saved-message-first"
"How to Raise Your Skeletons","https://t.me/How_to_Raise_Your_Skeletons","manwha","","30","","Resolved from saved messages","1912164565","saved-message"
